Name,Category,Difficulty,Estimated Time,Ideal Stage,Short Description,Long Description,Brief Instructions Step 1,Brief Instructions Step 2,Brief Instructions Step 3,Detailed Instructions Step 1,Detailed Instructions Step 2,Detailed Instructions Step 3,Detailed Instructions Step 4,Detailed Instructions Step 5,General Tips,Troubleshooting,Prerequisites,Progressions,Preparation Tips,Training Insights,Achievement Level 1,Achievement Level 2,Achievement Level 3,Ideal Stage Level 1,Ideal Stage Level 2,Ideal Stage Level 3,Pass Criteria,Fail Criteria,Mastery Criteria
Skateboard,Fun / Trick / Balance,Intermediate–Advanced,3–6 weeks,"Level 1 by Week 14, Level 2 by Week 20, Level 3 by Week 24",Dog stands on and pushes a skateboard.,"Skateboard is an eye‑catching trick that teaches balance, body control, and confidence on moving surfaces.",Introduce board.,Teach paws on.,Shape pushing.,Place the skateboard on a non‑moving surface (grass or carpet) and reward your dog for investigating.,"Shape front‑paws‑on behaviour, marking each time they place feet on the board.","Once confident, move to smooth ground and reinforce gentle pushing motions with back legs.",,,Use non‑moving surface first. Reward investigation. Keep sessions short.,"If dog is scared of movement, revert to grass. If slipping, use grip tape. If confused, break steps into micro‑shaping.","Touch, Confidence Skills",Advanced Balance Tricks,Use a skateboard with good grip and start on carpet.,Skateboard builds advanced balance and confidence.,Stands on stable board.,Pushes board slowly.,Rides board confidently on smooth ground.,Week 14,Week 20,Week 24,Dog stands/pushes board.,Dog avoids board.,Dog confidently rides/pushes skateboard on command.
Roll in Blanket,Fun / Trick / Cosy Behaviours,Intermediate,2–4 weeks,"Level 1 by Week 12, Level 2 by Week 16, Level 3 by Week 18",Dog wraps themselves in a blanket by rolling.,"Roll in Blanket is a charming trick where the dog rolls into a blanket, creating a cozy ‘tuck‑in’ effect. It uses shaping and confidence around body handling.",Start with blanket.,Shape rolling.,Add cue.,Lay out a blanket and encourage your dog to lie down at one end.,Place a treat and lure your dog to roll sideways while the blanket folds over them. Mark any rolling motion.,"Add the cue ‘Blanket’ when they begin rolling reliably, gradually reducing the lure.",,,Use soft blanket. Reward small rolls. Keep motion slow.,"If dog resists rolling, return to Play Dead practice. If blanket bunches, smooth it out. If hesitant, reward tiny shifts.","Down, Play Dead","Cozy Tricks, Bedtime Routines",Use soft blanket and quiet space.,Roll in Blanket builds body comfort and is adorable in routines.,Small roll movements.,Partial blanket wrap.,Full roll‑in on cue.,Week 12,Week 16,Week 18,Dog rolls into blanket.,Dog avoids blanket.,Dog fully wraps themselves in blanket on cue.
Say Prayers,Fun / Trick / Pose,Intermediate,2–4 weeks,"Level 1 by Week 12, Level 2 by Week 16, Level 3 by Week 18",Dog places paws on object and bows head as if praying.,"Say Prayers is a sweet, photogenic trick that teaches balance, precision, and controlled posture.",Teach paws up.,Shape head bow.,Add cue.,"Have your dog sit and place front paws on a stable object (chair, bed, stool). Mark and reward.","Lure their head downward between their paws, marking slight dips at first.","Add the cue ‘Pray’ once they reliably lower their head, then build duration.",,,Use stable object. Reward small head dips. Keep sessions calm.,"If dog lifts paws, lower object height. If nervous, use softer surfaces. If confused, separate steps further.","Paws Up, Bow","Hold Poses, Photo Tricks",Use stable prop and treats.,"Say Prayers builds balance, focus, and adorable posing behavior.",Paws up with head dip.,Holds prayer posture on cue.,Performs with distractions for photos/videos.,Week 12,Week 16,Week 18,Dog holds brief prayer pose.,Dog removes paws or resists bowing.,Dog performs full prayer position on cue anywhere.
Back Stall,Fun / Trick / Advanced Balance,Advanced,3–6 weeks,"Level 1 by Week 16, Level 2 by Week 20, Level 3 by Week 24",Dog jumps onto the handler’s back and balances.,"Back Stall is a flashy stunt trick where the dog gently hops onto the handler’s back and balances in place. It requires trust, confidence, and excellent body awareness.",Teach paws up.,Use low platform.,Transition to back.,Begin by teaching your dog to place front paws on your back while you kneel.,"Gradually shape full-body weight onto your back using a low, stable platform behind you.","When the dog is confident, lower your body and cue them to hop up gently. Reward for balancing.",,,Work on soft ground. Keep sessions short. Ensure dog is confident.,"If dog is nervous, raise platform height. If sliding, use non-slip clothing. If jumping too hard, lower excitement.","Paws Up, Confidence Skills",Advanced Balance Tricks,Use a mat and supportive clothing.,Back Stall builds trust and advanced balance.,Front paws on back.,Full stall on cue.,Stall in public or during routines.,Week 16,Week 20,Week 24,Dog balances briefly.,Dog refuses or jumps off.,"Smooth, controlled back stall on cue anywhere."
Footsies,Fun / Trick / Pose,Beginner–Intermediate,1–2 weeks,"Level 1 by Week 8, Level 2 by Week 10, Level 3 by Week 12",Dog places paws on handler’s feet and stays there.,Footsies is a sweet bonding trick where the dog gently stands with their front paws on your feet. It's used in dance routines and improves balance.,Lure paws up.,Add duration.,Add cue.,Stand still and lure your dog to place both front paws on your feet.,Mark and reward as soon as they make contact.,Add the cue 'Footsies' and gradually increase duration as your dog becomes comfortable.,,,Reward small attempts. Stand still. Keep voice calm.,"If dog steps off, reduce duration. If nervous, lower body posture. If unbalanced, use flat shoes.",Paws Up,"Dance Tricks, Moonwalk",Wear stable shoes and stand still.,Footsies encourages trust and body control.,Touches feet briefly.,Holds position.,Maintains Footsies while handler moves slightly.,Week 8,Week 10,Week 12,Dog places paws on feet.,Dog avoids contact.,Dog holds Footsies confidently anywhere.
Army Crawl,Fun / Trick / Movement,Beginner–Intermediate,1–3 weeks,"Level 1 by Week 10, Level 2 by Week 12, Level 3 by Week 14",Dog crawls forward while staying low to the ground.,Army Crawl is a fun trick that strengthens core muscles and teaches controlled movement.,Start in down.,Lure forward.,Add cue.,Place your dog in a Down. Hold a treat close to their nose and lure forward slowly.,Mark and reward any forward crawling movement while keeping elbows down.,"Add the cue 'Crawl' once the behaviour is consistent, gradually increasing distance.",,,Keep lure low. Reward small movements. Practice on soft ground.,"If dog stands up, lower lure more. If hesitant, shorten sessions. If sliding, use carpet.",Down,"Roll Over, Yoga Stretch",Use soft blanket or carpet.,Army Crawl improves strength and body awareness.,Crawls one step.,Crawls several steps.,Crawls long distance or in public.,Week 10,Week 12,Week 14,Dog crawls forward.,Dog stands up.,"Smooth, low crawl on cue anywhere."
Yoga Stretch,Fun / Trick / Stretching,Beginner,1–2 weeks,"Level 1 by Week 8, Level 2 by Week 10, Level 3 by Week 12",Dog performs a deep stretching pose (like play bow or forward stretch).,Yoga Stretch is a calming trick that encourages natural stretching and can be used for warm-ups before training.,Capture stretch.,Add cue.,Shape duration.,Watch for natural stretching moments (after naps or before walks) and mark the behavior.,Add the cue 'Stretch' just as they begin the movement.,Shape longer stretches over time while maintaining a calm environment.,,,Reward naturally. Use calm tone. Capture often.,"If dog won’t stretch, gently lure into bow. If stiff, warm up with easy movement. If confused, reward partial stretches.",Bow,"Routine Tricks, Warmups",Use quiet area and soft ground.,Yoga Stretch encourages calmness and flexibility.,Performs brief stretch.,Responds to cue.,Stretches on cue in busy environments.,Week 8,Week 10,Week 12,Dog performs recognizable stretch.,Dog doesn’t move into position.,Dog stretches deeply and reliably on cue anywhere.
Sit on Feet,Fun / Trick / Comfort,Beginner,1–2 weeks,"Level 1 by Week 8, Level 2 by Week 10, Level 3 by Week 12",Dog sits between or on the handler’s feet.,"Sit on Feet is a cozy bonding trick in which the dog sits snugly between or lightly on your feet. It helps build confidence and connection, especially for shy or clingy dogs.",Lure into position.,Add sit.,Add cue.,Stand with feet slightly apart. Lure your dog to move between your feet.,"Once positioned, gently cue a Sit and reward when they sit between or touching your feet.","Add the cue 'Sit on Feet' when the dog reliably moves into the position, increasing duration gradually.",,,Stand still. Reward calmness. Keep stance wide.,"If dog backs out, lower lure. If unsure, widen stance. If nervous, reward micro‑steps into position.","Sit, Middle","Peekaboo, Legs, Calm Poses",Use treats and stand with steady posture.,Sit on Feet builds closeness and can be used as a grounding position.,Sits briefly between feet.,Holds position on cue.,Performs in busy environments.,Week 8,Week 10,Week 12,Dog sits between feet.,Dog avoids feet.,Dog calmly holds position on cue anywhere.
Open Door,Advanced / Task / Assistance,Intermediate–Advanced,2–4 weeks,"Level 1 by Week 16, Level 2 by Week 20, Level 3 by Week 24",Dog opens a door using a tug rope or handle.,Open Door teaches functional independence skills by having the dog pull a tug rope or push a lever to open a door.,Introduce tug.,Pull rope.,Add cue.,Attach a tug rope to a door handle and reward your dog for interacting with it.,Shape pulling behaviour by marking any backward tug that moves the door.,"Add the cue 'Open' when your dog reliably pulls the door open, gradually increasing distance and reducing lure.",,,Use lightweight door. Reward small tugs. Keep door safe.,"If dog bites rope, switch texture. If hesitant, lower door resistance. If confused, shape tiny tugs.","Take It, Pull","Close Door, Retrieve Tasks",Use tug rope and soft treats.,Open Door builds independence and problem-solving.,Pulls rope lightly.,Opens door on cue.,Opens different doors in new places.,Week 16,Week 20,Week 24,Dog opens door.,Dog avoids rope.,Opens doors reliably on cue anywhere.
Close Door,Advanced / Task / Assistance,Intermediate,2–3 weeks,"Level 1 by Week 14, Level 2 by Week 18, Level 3 by Week 20",Dog pushes door shut with nose or paws.,"Close Door teaches the dog to gently push a door closed, useful for functional household tasks.",Target door.,Push closed.,Add cue.,Hold a target (sticky note) on the door and encourage your dog to nose‑touch it.,Gradually move the target toward the edge so touches push the door.,Add the cue 'Close' once your dog pushes the door fully shut.,,,Use soft-close doors. Mark gentle touches. Reward effort.,"If dog hits too hard, lower excitement. If scared of noise, soften door. If confused, start with target work.",Touch,"Open Door, Push Button",Use sticky notes or targets.,Close Door increases confidence around moving objects.,Touches door.,Pushes door partially.,Closes fully on cue anywhere.,Week 14,Week 18,Week 20,Dog closes door.,Dog avoids pushing.,Closes door gently and reliably on cue.
Turn Lights On/Off,Advanced / Task / Assistance,Advanced,3–6 weeks,"Level 1 by Week 18, Level 2 by Week 22, Level 3 by Week 26",Dog uses nose or paw to activate a light switch.,Turning lights on/off is a high-skill task demonstrating targeting precision and confidence with moving switches.,Switch target.,Add pressure.,Add cue.,Place a target sticker on the light switch and teach nose or paw targeting.,Gradually fade the target while shaping enough pressure to move the switch.,Add the cue 'Lights' when your dog reliably flips the switch.,,,Use large switches. Keep sessions short. Reward small wins.,"If dog scratches wall, use paw pad target. If afraid of click noise, desensitize slowly. If too gentle, build pressure.","Touch, Paws Up","Push Button, Assistance Tasks",Use large-switch practice plate.,This task improves precision and builds advanced task reliability.,Touches switch.,Moves switch reliably.,Performs task on various switches.,Week 18,Week 22,Week 26,Dog activates switch.,Dog avoids switch.,Dog reliably toggles lights anywhere.
Push Button,Advanced / Task / Assistance,Intermediate,2–3 weeks,"Level 1 by Week 12, Level 2 by Week 16, Level 3 by Week 18",Dog presses a button with nose or paw.,Push Button teaches dogs to activate devices like automatic doors or communication buttons.,Teach target.,Add pressure.,Add cue.,Present a large button and reward any nose or paw touches.,Shape stronger touches until the button activates.,Add the cue 'Push' when the dog presses reliably.,,,Use large button. Mark strong touches. Keep button stable.,"If dog pecks lightly, increase reward for strong touches. If scared of sound, lower volume. If unsure, return to target training.",Touch,"Lights, Advanced Buttons",Use stable surface and big button.,Push Button teaches precision and independence tasks.,Touches button.,Activates button.,Presses various buttons confidently.,Week 12,Week 16,Week 18,Dog activates button.,Dog avoids it.,Dog presses any accessible button on cue.
Ring Bell,Advanced / Communication / Assistance,Beginner–Intermediate,1–2 weeks,"Level 1 by Week 8, Level 2 by Week 10, Level 3 by Week 12","Dog rings a bell with nose or paw to signal a need (e.g., go outside).","Ring Bell teaches clear communication and builds independence, often used for potty cues or door alerts.",Target bell.,Build pressure.,Add cue.,Hold or mount a bell at nose height and reward any touch.,Shape stronger touches until the bell makes sound.,Add the cue 'Bell' or 'Ring' once your dog reliably activates it.,,,Mount bell securely. Reward clear touches. Keep excitement low.,"If dog avoids bell, lower height. If too gentle, increase reinforcement. If pawing excessively, switch to nose targeting.",Touch,"Push Button, Communication Tasks",Use mounted bell and treats.,Ring Bell improves communication clarity and independence.,Touches bell.,Rings bell on cue.,Rings bell reliably for communication.,Week 8,Week 10,Week 12,Dog rings bell intentionally.,Dog avoids it.,Dog rings bell purposefully on cue or context anywhere.
Tidy Up,Advanced / Task / Retrieval,Intermediate–Advanced,3–6 weeks,"Level 1 by Week 16, Level 2 by Week 20, Level 3 by Week 24",Dog picks up toys and places them into a basket.,"Tidy Up teaches multi-step task sequencing, building retrieve reliability and organization skills.",Retrieve toy.,Target basket.,Drop into basket.,Start by teaching your dog to pick up a toy and return to you.,Place a basket near you and reward any movement toward it while holding a toy.,Shape dropping the toy into the basket and add the cue 'Tidy Up' once consistent.,,,Use light toys. Keep basket stable. Reward attempts.,"If dog drops toy early, shorten distance. If confused, start with larger basket. If reluctant, raise reward value.","Fetch, Give",Advanced Retrieve Chains,Use toys and stable basket.,"Tidy Up builds sequencing, confidence, and purposeful task skills.",Drops toy near basket.,Places toy inside.,Repeats with multiple toys reliably.,Week 16,Week 20,Week 24,Dog places toy in basket.,Dog drops early.,Dog tidies multiple toys on cue anywhere.
Find It (Search),Advanced / Scentwork / Games,Beginner–Intermediate,1–3 weeks,"Level 1 by Week 10, Level 2 by Week 12, Level 3 by Week 14",Dog searches for hidden treats or objects using scent.,"Find It builds natural scenting ability, confidence, and problem-solving.",Show treat.,Hide easy.,Increase difficulty.,"Hold a treat or toy in front of your dog, say 'Find it!', and toss it a short distance.",Progress to hiding it in easy places while letting your dog watch.,Hide items without your dog watching and reward any successful search.,,,Start easy. Keep hides simple. Reward generously.,"If dog gives up, reduce difficulty. If distracted, use higher-value item. If rushing, slow pacing.","Sit, Focus","Scent Discrimination, Tracking",Use treat or toy and simple hiding spots.,Find It promotes mental stimulation and scent skills.,Finds visible or easy-hidden item.,Finds moderately hidden item.,Searches complex areas reliably.,Week 10,Week 12,Week 14,Dog finds item.,Dog quits quickly.,Dog searches independently and thoroughly on cue anywhere.
Find (Object Name),Advanced / Task / Retrieval,Advanced,4–8 weeks,"Level 1 by Week 20, Level 2 by Week 24, Level 3 by Week 28",Dog retrieves a specific item by name.,Find (Object Name) teaches advanced discrimination and complex retrieval behaviour used in service and assistance work.,Teach item name.,Add second item.,Increase choices.,"Start with one object (e.g., 'Keys'). Encourage your dog to touch or retrieve it while repeating the name and rewarding heavily.",Add a second object with a different name and reward correct selection.,"Increase the number of items and distance, reinforcing accurate discrimination and retrieval.",,,Start with distinct objects. Use clear names. Reward correct choices strongly.,"If dog guesses, reduce choices. If confused, return to single-item reps. If hesitant, refresh basics.","Fetch, Find It","Advanced Retrieval Chains, Carry Tasks",Use 2–3 distinct objects.,Object discrimination builds advanced cognitive and retrieval skills.,Selects correct item from 2.,Retrieves correctly from several.,Retrieves named items from distance or other rooms.,Week 20,Week 24,Week 28,Correct item retrieved.,Repeated incorrect choices.,Dog reliably retrieves named items from anywhere.
Track,Advanced / Scentwork / Working,Advanced,4–8 weeks,"Level 1 by Week 20, Level 2 by Week 26, Level 3 by Week 30",Dog follows a scent trail on the ground.,"Tracking builds advanced scenting ability, focus, and working drive. It teaches the dog to follow a specific scent path to locate a person or object.",Lay scent trail.,Start easy.,Increase length.,"Begin by dragging a treat or scent article along the ground in a straight line, placing small rewards along the track.","Bring your dog to the start, say ‘Track’, and allow them to follow the scent trail to the end.","Gradually increase length, turns, and complexity, reducing food rewards over time.",,,Start with simple trails. Use calm tone. Reward often.,"If dog wanders, shorten track. If overwhelmed, lay fresher scent. If distracted, use higher-value rewards.","Find It, Focus","Scent Discrimination, Search & Rescue Foundations",Use scent article and long line.,"Tracking teaches discipline, scent focus, and confidence outdoors.",Follows short straight track.,Follows multi-turn track.,"Tracks long, complex trails with distractions.",Week 20,Week 26,Week 30,Dog follows basic track.,Dog quits quickly.,Dog reliably tracks long trails in varied environments.
Scent Discrimination,Advanced / Scentwork / Cognitive,Advanced,6–10 weeks,"Level 1 by Week 22, Level 2 by Week 28, Level 3 by Week 32",Dog identifies and indicates a matching scent among multiple choices.,"Scent Discrimination builds cognitive precision and advanced olfactory skill, central to scentwork, obedience, and assistance tasks.",Introduce target scent.,Add decoys.,Increase difficulty.,"Present your dog with a scented item (e.g., your glove) and reward them for investigating.",Place the scented item among identical unscented objects and reward correct indications.,"Increase number of decoys, distance, and complexity, adding a clear indication behaviour such as a sit or nose freeze.",,,Use identical objects. Reward heavily. Keep sessions short.,"If dog guesses, reduce options. If overwhelmed, simplify. If hesitant, refresh scent association.",Find It,"Tracking, Advanced Search",Use clean identical items and gloves.,Scent Discrimination enhances precision and mental challenge.,Finds correct scent among 2–3 items.,Finds correct scent in moderate setups.,Performs reliable discrimination in varied environments.,Week 22,Week 28,Week 32,Dog selects correct scent.,Dog repeatedly chooses wrong items.,Dog discriminates scent accurately anywhere.
Carry,Advanced / Retrieve / Task,Intermediate–Advanced,2–4 weeks,"Level 1 by Week 12, Level 2 by Week 16, Level 3 by Week 20",Dog carries an item while walking.,"Carry teaches reliable retrieval and calm transport of items over distance, useful for assistance tasks and working dog foundations.",Hold item.,Take steps.,Add cue.,Begin by teaching your dog to hold an item in their mouth while sitting.,Take a step forward and reward if they keep holding the item.,Add the cue ‘Carry’ once your dog can walk several steps without dropping.,,,Start with light object. Reward frequently. Keep duration short.,"If dog drops item, shorten distance. If chewing, switch item. If distracted, practice indoors first.","Hold, Take It","Retrieve Chains, Bring It Here",Use lightweight item.,Carry builds confidence and calm working behaviour.,Carries for a few steps.,Carries around room.,Carries reliably outdoors or to person.,Week 12,Week 16,Week 20,Dog walks while holding item.,Drops quickly.,Carries item calmly on cue anywhere.
Hold,Advanced / Retrieve / Foundation,Intermediate,2–4 weeks,"Level 1 by Week 10, Level 2 by Week 14, Level 3 by Week 16",Dog holds an object calmly without chewing or dropping.,"Hold builds the foundation for all advanced retrieve tasks, from service dog work to competition obedience.",Introduce item.,Build duration.,Add cue.,"Present the object (dumbbell, toy, or handle) and reward your dog for taking it gently.","Gradually build duration by rewarding longer holds with a calm, closed mouth.",Add the cue ‘Hold’ when your dog reliably takes and maintains grip.,,,Reward calm mouth. Use neutral tone. Avoid tugging.,"If dog chews, reset quickly. If drops, shorten duration. If avoids item, switch texture.","Take It, Sit","Carry, Retrieve Tasks",Use smooth object and calm space.,"Hold builds impulse control, grip strength, and retrieve reliability.",Holds briefly.,Holds steadily.,Holds reliably with distractions or during movement.,Week 10,Week 14,Week 16,Dog holds calmly.,Dog chews or drops.,Dog maintains calm grip anywhere on cue.
