breed,origin,life_span_years,male_weight_adult_kg_min,male_weight_adult_kg_max,male_weight_6m_kg_min,male_weight_6m_kg_max,female_weight_adult_kg_min,female_weight_adult_kg_max,female_weight_6m_kg_min,female_weight_6m_kg_max,temperament,exercise_needs,trainability,coat,grooming,common_health_issues,recognized_by,also_known_as,fci_group,exercise_level,grooming_needs,enrichment_confidence,weights_confidence,health_notes_confidence,recommended_screenings,health_watchlist_tags,health_prevalence_notes
Pembroke Welsh Corgi,Wales,12–15,18.0,30.0,10.8,18.0,16.0,27.0,10.6,17.8,intelligent;loyal;energetic,"Very High (90–120+ min/day, mental work)",Very High,Double; medium,Moderate,hip dysplasia; CEA; MDR1 sensitivity; intervertebral disc disease (IVDD) predisposition; degenerative myelopathy (DM),"AKC, FCI",,1.0,High,Moderate,breed-specific,breed-specific estimate,pattern-based (well-established risks),DM DNA test; core orthopedic evaluation,Neurologic; Orthopedic,IVDD risk elevated; DM occurs in the breed.
Perro de Presa Canario,Spain (Canary Islands),7–10,50.0,80.0,25.0,40.0,45.0,70.0,22.5,35.0,gentle;steady;protective,Moderate (45–60 min/day),Moderate,Short/medium,Low–Moderate,bloat;orthopedic disease;cardiomyopathy,FCI,,2.0,Moderate,Low,breed-specific,breed-specific estimate,,,,
Peruvian Inca Orchid,Peru,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,"AKC, FCI",,5.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Petit Basset Griffon Vendéen,France,12–16,2.0,6.0,1.5,4.5,2.0,6.0,1.5,4.5,affectionate;alert;playful,Low–Moderate (20–40 min/day),Moderate–High,Short or long; varies,Low to High (breed-specific),dental disease;luxating patellas;tracheal collapse,FCI,,6.0,High,Low,breed-specific,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks; hips/elbows (OFA/FCI); eye exam (CAER),Otic; Dermatologic; Weight; Orthopedic; Ophthalmic,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.; Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.
Pharaoh Hound,Malta,10–14,20.0,35.0,12.0,21.0,18.0,32.0,10.8,19.2,independent;gentle;prey-driven,High (60–120 min/day),Moderate (scent/sight driven),Short or medium,Low to Moderate,hip dysplasia;ear infections;eye disorders,"AKC, FCI",,5.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Plott Hound,United States,10–14,20.0,35.0,12.0,21.0,18.0,32.0,10.8,19.2,independent;gentle;prey-driven,High (60–120 min/day),Moderate (scent/sight driven),Short or medium,Low to Moderate,hip dysplasia;ear infections;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Pointer,England,11–14,25.0,36.0,15.0,21.6,20.0,32.0,12.0,19.2,friendly;people-pleasing;active,High (90–120 min/day),High,Medium feathered or short,Moderate,hip/elbow dysplasia;ear infections;allergies,"AKC, FCI",,7.0,High,Low,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); eye exam (CAER),Orthopedic; Ophthalmic,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.
Polish Lowland Sheepdog,Poland,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,"AKC, FCI",,1.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Pomeranian,Germany/Poland,12–16,2.0,6.0,1.5,4.5,2.0,6.0,1.5,4.5,affectionate;alert;playful,Low–Moderate (20–40 min/day),Moderate–High,Short or long; varies,Low to High (breed-specific),dental disease; luxating patellas; tracheal collapse; dental disease prevalence (toy breeds); patellar luxation; alopecia X,"AKC, FCI",,5.0,High,Moderate,breed-specific,breed-specific estimate,pattern-based (well-established risks),patellar exam; routine dental care; eye exam (CAER),Dental; Orthopedic; Ophthalmic,Dental disease and patellar luxation are common in toy breeds.; Companion/toy breeds: dental disease and patellar luxation common; several have hereditary eye risks.
Poodle,Germany/France,12–16,2.0,6.0,1.5,4.5,2.0,6.0,1.5,4.5,affectionate;alert;playful,Low–Moderate (20–40 min/day),Moderate–High,Short or long; varies,Low to High (breed-specific),dental disease;luxating patellas;tracheal collapse,FCI,,9.0,Low,Varies,breed-specific,breed-specific estimate,,,,
Portuguese Podengo,Portugal,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,5.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Portuguese Podengo Pequeno,Portugal,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,5.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Portuguese Water Dog,Portugal,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,"AKC, FCI",,8.0,High,Moderate,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); ear care plan; skin/coat checks,Otic; Dermatologic; Orthopedic,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.
Presa Canario,Spain,7–10,50.0,80.0,25.0,40.0,45.0,70.0,22.5,35.0,gentle;steady;protective,Moderate (45–60 min/day),Moderate,Short/medium,Low–Moderate,bloat;orthopedic disease;cardiomyopathy,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Pug,China,12–16,2.0,6.0,1.5,4.5,2.0,6.0,1.5,4.5,affectionate;alert;playful,Low–Moderate (20–40 min/day),Moderate–High,Short or long; varies,Low to High (breed-specific),dental disease; luxating patellas; tracheal collapse; brachycephalic obstructive airway syndrome (BOAS); heat intolerance; ocular issues (corneal/entropion risk); hemivertebrae (spinal malformations); necrotizing meningoencephalitis (PDE/NME),"AKC, FCI",,9.0,Low,Varies,breed-specific,breed-specific estimate,pattern-based (well-established risks),airway exam for BOAS risk; eye exam (CAER); neurologic exam if seizures/behavior changes (PDE context); airway exam before anesthesia; weight management counseling; patellar exam; routine dental care,Respiratory; Ophthalmic; Spinal; Dermatologic; Anesthesia; Dental; Orthopedic,BOAS prevalence high; heat intolerance common; ocular ulcer/entropion risk; vertebral malformations more frequent in screw‑tail breeds.; Companion/toy breeds: dental disease and patellar luxation common; several have hereditary eye risks.
Puli,Hungary,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,"AKC, FCI",,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Pumi,Hungary,12–15,18.0,30.0,10.8,18.0,16.0,27.0,10.6,17.8,intelligent;loyal;energetic,"Very High (90–120+ min/day, mental work)",Very High,Double; medium,Moderate,hip dysplasia;CEA;MDR1 sensitivity,"AKC, FCI",,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Pyrenean Mastiff,Spain,7–10,50.0,80.0,25.0,40.0,45.0,70.0,22.5,35.0,gentle;steady;protective,Moderate (45–60 min/day),Moderate,Short/medium,Low–Moderate,bloat; orthopedic disease; cardiomyopathy; gastric dilatation–volvulus (bloat) risk in deep‑chested breeds,FCI,,2.0,Moderate,Low,breed-specific,breed-specific estimate,pattern-based (well-established risks),hips (OFA/FCI); elbows (OFA/FCI); owner education on bloat; consider prophylactic gastropexy where appropriate; hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),Gastrointestinal; Orthopedic; Ophthalmic; Cardiac; Endocrine,Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.; Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.
Pyrenean Shepherd,France (Pyrenees),12–15,18.0,30.0,10.8,18.0,16.0,27.0,10.6,17.8,intelligent;loyal;energetic,"Very High (90–120+ min/day, mental work)",Very High,Double; medium,Moderate,hip dysplasia;CEA;MDR1 sensitivity,"AKC, FCI",,1.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Rat Terrier,United States,12–15,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,bold;feisty;energetic,High (60–90 min/day),Moderate,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation;skin issues;lens luxation,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Redbone Coonhound,United States,10–14,20.0,35.0,12.0,21.0,18.0,32.0,10.8,19.2,independent;gentle;prey-driven,High (60–120 min/day),Moderate (scent/sight driven),Short or medium,Low to Moderate,hip dysplasia;ear infections;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Rhodesian Ridgeback,Southern Africa (Zimbabwe),11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia; eye disorders; gastric dilatation–volvulus (bloat) risk in deep‑chested breeds,"AKC, FCI",,,Moderate,Moderate,breed-specific,breed-specific estimate,pattern-based (well-established risks),neonatal dermoid sinus check; owner education on bloat; consider prophylactic gastropexy where appropriate,Dermatologic; Neurologic; Gastrointestinal,Dermoid sinus associated with ridge; neonatal screening advised.; Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.
Rottweiler,Germany,9–12,35.0,60.0,17.5,30.0,30.0,50.0,18.0,30.0,confident;protective;calm,High (60–120 min/day),Moderate–High,Short/medium double,Low–Moderate,hip dysplasia; bloat; heart issues; osteosarcoma risk,"AKC, FCI",,2.0,Moderate,Low,breed-specific,breed-specific estimate,pattern-based (well-established risks),hips (OFA/FCI); elbows (OFA/FCI); hips/elbows (OFA/FCI); limb pain/swelling vigilance,Oncologic; Orthopedic,Osteosarcoma risk elevated; hip/elbow dysplasia seen.
Russian Toy,Russia,12–16,2.0,6.0,1.5,4.5,2.0,6.0,1.5,4.5,affectionate;alert;playful,Low–Moderate (20–40 min/day),Moderate–High,Short or long; varies,Low to High (breed-specific),dental disease; luxating patellas; tracheal collapse; dental disease prevalence (toy breeds); patellar luxation,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,pattern-based (well-established risks),patellar exam; routine dental care,Dental; Orthopedic,Dental disease and patellar luxation are common in toy breeds.
Russian Tsvetnaya Bolonka,Russia,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Saint Bernard,Switzerland,7–10,50.0,80.0,25.0,40.0,45.0,70.0,22.5,35.0,gentle;steady;protective,Moderate (45–60 min/day),Moderate,Short/medium,Low–Moderate,bloat;orthopedic disease;cardiomyopathy,"AKC, FCI",,2.0,Moderate,Low,breed-specific,breed-specific estimate,,hips (OFA/FCI); elbows (OFA/FCI); owner education on bloat; consider prophylactic gastropexy where appropriate; hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),Gastrointestinal; Orthopedic; Ophthalmic; Cardiac; Endocrine,Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.; Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.
Saluki,Middle East,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,"AKC, FCI",,10.0,Moderate,Low,breed-specific,breed-specific estimate,,anesthesia plan tailored to sighthounds; owner education on bloat for giant/large sighthounds,Anesthesia; Hematologic; Dermatologic; Gastrointestinal,Sighthounds: unique anesthetic/analgesic considerations; thin skin/pressure sores; some have hyperfibrinolysis tendencies; deep‑chested types with bloat risk.
Samoyed,Russia (Siberia),11–14,20.0,35.0,12.0,21.0,16.0,30.0,9.6,18.0,alert;independent;friendly,High (90–120 min/day),Moderate,Thick double,Moderate–High (seasonal blowouts),hip dysplasia; eye issues; zinc deficiency; hereditary eye disease (cataract/PRA); dermatologic issues (zinc‑responsive dermatosis in some lines),"AKC, FCI",,5.0,High,Moderate,breed-specific,breed-specific estimate,pattern-based (well-established risks),eye exam (CAER); dietary zinc evaluation if dermatologic signs,Dermatologic; Ophthalmic,Hereditary eye disease and zinc‑responsive dermatosis reported in some lines.
Sarplaninac,North Macedonia/Serbia,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Schipperke,Belgium,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Scottish Deerhound,Scotland,10–14,20.0,35.0,12.0,21.0,18.0,32.0,10.8,19.2,independent;gentle;prey-driven,High (60–120 min/day),Moderate (scent/sight driven),Short or medium,Low to Moderate,hip dysplasia;ear infections;eye disorders,"AKC, FCI",,10.0,Moderate,Low,breed-specific,breed-specific estimate,,anesthesia plan tailored to sighthounds; owner education on bloat for giant/large sighthounds,Anesthesia; Hematologic; Dermatologic; Gastrointestinal,Sighthounds: unique anesthetic/analgesic considerations; thin skin/pressure sores; some have hyperfibrinolysis tendencies; deep‑chested types with bloat risk.
Scottish Terrier,Scotland,12–15,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,bold;feisty;energetic,High (60–90 min/day),Moderate,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation;skin issues;lens luxation,"AKC, FCI",,3.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Sealyham Terrier,Wales,12–15,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,bold;feisty;energetic,High (60–90 min/day),Moderate,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation;skin issues;lens luxation,"AKC, FCI",,3.0,High,Moderate,breed-specific,breed-specific estimate,,PLL DNA test where applicable; patellar exam; dental plan,Ophthalmic; Orthopedic; Dental,Some terriers carry primary lens luxation (PLL); small terriers may have patellar luxation and dental disease.
Segugio Italiano,Italy,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Shetland Sheepdog,Scotland (Shetland),11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia; eye disorders; MDR1 (ABCB1) drug sensitivity (screening recommended); collie eye anomaly (CEA) in some lines; collie eye anomaly (CEA),"AKC, FCI",,1.0,High,Moderate,breed-specific,breed-specific estimate,pattern-based (well-established risks),hips (OFA/FCI); CEA/eye exam (CAER); MDR1 DNA test; eye exam (CAER),Pharmacogenetics; Ophthalmic,MDR1 drug sensitivity occurs in herding breeds; collie eye anomaly (CEA) in some lines.
Shiba Inu,Japan,11–14,20.0,35.0,12.0,21.0,16.0,30.0,9.6,18.0,alert;independent;friendly,High (90–120 min/day),Moderate,Thick double,Moderate–High (seasonal blowouts),hip dysplasia; eye issues; zinc deficiency; allergies; glaucoma predisposition,FCI,,5.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Shih Tzu,Tibet/China,12–16,2.0,6.0,1.5,4.5,2.0,6.0,1.5,4.5,affectionate;alert;playful,Low–Moderate (20–40 min/day),Moderate–High,Short or long; varies,Low to High (breed-specific),dental disease; luxating patellas; tracheal collapse; brachycephalic obstructive airway syndrome (BOAS); heat intolerance; ocular issues (corneal/entropion risk),"AKC, FCI",,9.0,Low,Varies,breed-specific,breed-specific estimate,pattern-based (well-established risks),airway exam for BOAS risk; eye exam (CAER); patellar exam; airway exam before anesthesia; weight management counseling; routine dental care,Respiratory; Ophthalmic; Spinal; Dermatologic; Anesthesia; Dental; Orthopedic,BOAS prevalence high; heat intolerance common; ocular ulcer/entropion risk; vertebral malformations more frequent in screw‑tail breeds.; Companion/toy breeds: dental disease and patellar luxation common; several have hereditary eye risks.
Shikoku,Japan,12–16,2.0,6.0,1.5,4.5,2.0,6.0,1.5,4.5,affectionate;alert;playful,Low–Moderate (20–40 min/day),Moderate–High,Short or long; varies,Low to High (breed-specific),dental disease;luxating patellas;tracheal collapse,FCI,,5.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Siberian Husky,Russia (Siberia),11–14,20.0,35.0,12.0,21.0,16.0,30.0,9.6,18.0,alert;independent;friendly,High (90–120 min/day),Moderate,Thick double,Moderate–High (seasonal blowouts),hip dysplasia; eye issues; zinc deficiency; hereditary eye disease (cataract/PRA); dermatologic issues (zinc‑responsive dermatosis in some lines),"AKC, FCI",,5.0,High,Moderate,breed-specific,breed-specific estimate,pattern-based (well-established risks),eye exam (CAER); dietary zinc evaluation if dermatologic signs,Dermatologic; Ophthalmic,Hereditary eye disease and zinc‑responsive dermatosis reported in some lines.
Silky Terrier,Australia,12–15,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,bold;feisty;energetic,High (60–90 min/day),Moderate,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation;skin issues;lens luxation,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Skye Terrier,Scotland,12–15,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,bold;feisty;energetic,High (60–90 min/day),Moderate,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation;skin issues;lens luxation,"AKC, FCI",,3.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Sloughi,North Africa (Morocco),11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,10.0,Moderate,Low,breed-specific,breed-specific estimate,,anesthesia plan tailored to sighthounds; owner education on bloat for giant/large sighthounds,Anesthesia; Hematologic; Dermatologic; Gastrointestinal,Sighthounds: unique anesthetic/analgesic considerations; thin skin/pressure sores; some have hyperfibrinolysis tendencies; deep‑chested types with bloat risk.
Slovak Cuvac,Slovakia,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Slovakian Wirehaired Pointer,Slovakia,11–14,25.0,36.0,15.0,21.6,20.0,32.0,12.0,19.2,friendly;people-pleasing;active,High (90–120 min/day),High,Medium feathered or short,Moderate,hip/elbow dysplasia;ear infections;allergies,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); eye exam (CAER),Orthopedic; Ophthalmic,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.
Small Münsterländer,Germany,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,"AKC, FCI",,7.0,High,Low,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); eye exam (CAER),Orthopedic; Ophthalmic,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.
Soft-Coated Wheaten Terrier,Ireland,12–15,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,bold;feisty;energetic,High (60–90 min/day),Moderate,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation;skin issues;lens luxation,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Spanish Mastiff,Spain,7–10,50.0,80.0,25.0,40.0,45.0,70.0,22.5,35.0,gentle;steady;protective,Moderate (45–60 min/day),Moderate,Short/medium,Low–Moderate,bloat; orthopedic disease; cardiomyopathy; gastric dilatation–volvulus (bloat) risk in deep‑chested breeds,FCI,,2.0,Moderate,Low,breed-specific,breed-specific estimate,pattern-based (well-established risks),hips (OFA/FCI); elbows (OFA/FCI); owner education on bloat; consider prophylactic gastropexy where appropriate; hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),Gastrointestinal; Orthopedic; Ophthalmic; Cardiac; Endocrine,Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.; Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.
Spanish Water Dog,Spain,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,"AKC, FCI",,8.0,High,Moderate,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); ear care plan; skin/coat checks,Otic; Dermatologic; Orthopedic,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.
Spinone Italiano,Italy,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,"AKC, FCI",,7.0,High,Low,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); eye exam (CAER),Orthopedic; Ophthalmic,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.
Stabyhoun,Netherlands,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,"AKC, FCI",,7.0,High,Low,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); eye exam (CAER),Orthopedic; Ophthalmic,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.
Staffordshire Bull Terrier,England,12–15,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,bold;feisty;energetic,High (60–90 min/day),Moderate,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation;skin issues;lens luxation,"AKC, FCI",,3.0,High,Moderate,breed-specific,breed-specific estimate,,BAER hearing test,,
Standard Schnauzer,Germany,9–12,35.0,60.0,17.5,30.0,30.0,50.0,18.0,30.0,confident;protective;calm,High (60–120 min/day),Moderate–High,Short/medium double,Low–Moderate,hip dysplasia;bloat;heart issues,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Sussex Spaniel,England,11–14,16.0,25.0,10.6,16.5,14.0,23.0,9.2,15.2,gentle;obedient;enthusiastic,High (60–90 min/day),High,Medium feathered,Moderate–High,ear infections;hip dysplasia;eye issues,"AKC, FCI",,8.0,High,Moderate,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); ear care plan; skin/coat checks,Otic; Dermatologic; Orthopedic,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.
Swedish Lapphund,Sweden,12–15,18.0,30.0,10.8,18.0,16.0,27.0,10.6,17.8,intelligent;loyal;energetic,"Very High (90–120+ min/day, mental work)",Very High,Double; medium,Moderate,hip dysplasia;CEA;MDR1 sensitivity,FCI,,5.0,High,Moderate,breed-specific,breed-specific estimate,,hips (OFA/FCI); eye exam (CAER),Orthopedic; Ophthalmic,Nordic herders/spitz: hip dysplasia screening recommended; hereditary eye disease occurs in some lines.
Swedish Vallhund,Sweden,12–15,18.0,30.0,10.8,18.0,16.0,27.0,10.6,17.8,intelligent;loyal;energetic,"Very High (90–120+ min/day, mental work)",Very High,Double; medium,Moderate,hip dysplasia;CEA;MDR1 sensitivity,FCI,,5.0,High,Moderate,breed-specific,breed-specific estimate,,hips (OFA/FCI); eye exam (CAER),Orthopedic; Ophthalmic,Nordic herders/spitz: hip dysplasia screening recommended; hereditary eye disease occurs in some lines.
Taiwan Dog,Taiwan,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Telomian,Malaysia,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Thai Ridgeback,Thailand,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia; eye disorders; gastric dilatation–volvulus (bloat) risk in deep‑chested breeds,FCI,,5.0,High,Moderate,breed-specific,breed-specific estimate,pattern-based (well-established risks),owner education on bloat; consider prophylactic gastropexy where appropriate,Gastrointestinal,Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.
Tibetan Kyi Apso,Tibet,10–13,9.0,25.0,5.9,16.5,8.0,23.0,5.3,15.2,dignified;loyal;independent,Moderate (45–60 min/day),Moderate,Varies (often double),Low–Moderate,hip dysplasia;BOAS (for brachy breeds);allergies,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Tibetan Mastiff,Tibet,7–10,50.0,80.0,25.0,40.0,45.0,70.0,22.5,35.0,gentle;steady;protective,Moderate (45–60 min/day),Moderate,Short/medium,Low–Moderate,bloat; orthopedic disease; cardiomyopathy; gastric dilatation–volvulus (bloat) risk in deep‑chested breeds,"AKC, FCI",,2.0,Moderate,Low,breed-specific,breed-specific estimate,pattern-based (well-established risks),hips (OFA/FCI); elbows (OFA/FCI); owner education on bloat; consider prophylactic gastropexy where appropriate; hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),Gastrointestinal; Orthopedic; Ophthalmic; Cardiac; Endocrine,Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.; Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.
Tibetan Spaniel,Tibet,11–14,16.0,25.0,10.6,16.5,14.0,23.0,9.2,15.2,gentle;obedient;enthusiastic,High (60–90 min/day),High,Medium feathered,Moderate–High,ear infections;hip dysplasia;eye issues,"AKC, FCI",,9.0,Low,Varies,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); ear care plan; skin/coat checks,Otic; Dermatologic; Orthopedic,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.
Tibetan Terrier,Tibet,12–15,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,bold;feisty;energetic,High (60–90 min/day),Moderate,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation;skin issues;lens luxation,"AKC, FCI",,9.0,Low,Varies,breed-specific,breed-specific estimate,,,,
Tornjak,Bosnia and Herzegovina/Croatia,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
