Name,Coat,Common Health Issues,also_known_as,enrichment_confidence,exercise_level,exercise_needs,fci_group,female_weight_6m_kg_max,female_weight_6m_kg_min,female_weight_adult_kg_max,female_weight_adult_kg_min,grooming,grooming_needs,health_notes_confidence,health_prevalence_notes,health_watchlist_tags,life_span_years,male_weight_6m_kg_max,male_weight_6m_kg_min,male_weight_adult_kg_max,male_weight_adult_kg_min,origin,recognized_by,recommended_screenings,temperament,trainability,weights_confidence
Spinone Italiano,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,Moderate,7,13.2,5.9,20,9,Low–Moderate,Low,,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.,Orthopedic; Ophthalmic,11–14,14.5,6.6,22,10,Italy,"AKC, FCI",hips/elbows (OFA/FCI); eye exam (CAER),loyal;alert;trainable,Moderate,breed-specific estimate
Stabyhoun,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,Moderate,7,13.2,5.9,20,9,Low–Moderate,Low,,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.,Orthopedic; Ophthalmic,11–14,14.5,6.6,22,10,Netherlands,"AKC, FCI",hips/elbows (OFA/FCI); eye exam (CAER),loyal;alert;trainable,Moderate,breed-specific estimate
Staffordshire Bull Terrier,Wire/broken or smooth,"Skin issues (https://www.notion.so/Skin-issues-0204ec666dfa43b595daffb229708b0e?pvs=21), Lens luxation (https://www.notion.so/Lens-luxation-44b02200e7a64255a340e67f7a03af57?pvs=21), Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21)",,breed-specific,High,High (60–90 min/day),3,8.2,4.5,11,6,Moderate (hand-stripping for some),Moderate,,,,12–15,7.9,4.6,12,7,England,"AKC, FCI",BAER hearing test,bold;feisty;energetic,Moderate,breed-specific estimate
Standard Schnauzer,Short/medium double,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Heart issues (https://www.notion.so/Heart-issues-ed76893a1091458b898840deabe0dfdd?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21)",,breed-specific,Moderate,High (60–120 min/day),0,30,18,50,30,Low–Moderate,Moderate,,,,9–12,30,17.5,60,35,Germany,FCI,,confident;protective;calm,Moderate–High,breed-specific estimate
Sussex Spaniel,Medium feathered,"Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,High (60–90 min/day),8,15.2,9.2,23,14,Moderate–High,Moderate,,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.,Otic; Dermatologic; Orthopedic,11–14,16.5,10.6,25,16,England,"AKC, FCI",hips/elbows (OFA/FCI); ear care plan; skin/coat checks,gentle;obedient;enthusiastic,High,breed-specific estimate
Swedish Lapphund,Double; medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Collie Eye Anomaly (CEA) (https://www.notion.so/Collie-Eye-Anomaly-CEA-38701eb1cd5446c9bc08e1f5d1b2bcd0?pvs=21), MDR1 sensitivity (https://www.notion.so/MDR1-sensitivity-c1f6a3f9a2114d02b11d55dae344d9e0?pvs=21)",,breed-specific,High,"Very High (90–120+ min/day, mental work)",5,17.8,10.6,27,16,Moderate,Moderate,,Nordic herders/spitz: hip dysplasia screening recommended; hereditary eye disease occurs in some lines.,Orthopedic; Ophthalmic,12–15,18,10.8,30,18,Sweden,FCI,hips (OFA/FCI); eye exam (CAER),intelligent;loyal;energetic,Very High,breed-specific estimate
Swedish Vallhund,Double; medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Collie Eye Anomaly (CEA) (https://www.notion.so/Collie-Eye-Anomaly-CEA-38701eb1cd5446c9bc08e1f5d1b2bcd0?pvs=21), MDR1 sensitivity (https://www.notion.so/MDR1-sensitivity-c1f6a3f9a2114d02b11d55dae344d9e0?pvs=21)",,breed-specific,High,"Very High (90–120+ min/day, mental work)",5,17.8,10.6,27,16,Moderate,Moderate,,Nordic herders/spitz: hip dysplasia screening recommended; hereditary eye disease occurs in some lines.,Orthopedic; Ophthalmic,12–15,18,10.8,30,18,Sweden,FCI,hips (OFA/FCI); eye exam (CAER),intelligent;loyal;energetic,Very High,breed-specific estimate
Taiwan Dog,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,Moderate,0,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,Taiwan,FCI,,loyal;alert;trainable,Moderate,breed-specific estimate
Telomian,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,Moderate,0,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,Malaysia,FCI,,loyal;alert;trainable,Moderate,breed-specific estimate
Thai Ridgeback,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21)",,breed-specific,High,Moderate,5,13.2,5.9,20,9,Low–Moderate,Moderate,pattern-based (well-established risks),Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.,Gastrointestinal,11–14,14.5,6.6,22,10,Thailand,FCI,owner education on bloat; consider prophylactic gastropexy where appropriate,loyal;alert;trainable,Moderate,breed-specific estimate
Tibetan Kyi Apso,Varies (often double),"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Brachycephalic obstructive airway syndrome (BOAS) (https://www.notion.so/Brachycephalic-obstructive-airway-syndrome-BOAS-28ccf55ca08881f59cadf79e1f34086a?pvs=21), Allergies (https://www.notion.so/Allergies-1774994115ff45c78fdfb6f6f86dd8b2?pvs=21)",,breed-specific,Moderate,Moderate (45–60 min/day),0,15.2,5.3,23,8,Low–Moderate,Moderate,,,,10–13,16.5,5.9,25,9,Tibet,FCI,,dignified;loyal;independent,Moderate,breed-specific estimate
Tibetan Mastiff,Short/medium,"Orthopedic disease (https://www.notion.so/Orthopedic-disease-cca3e9500b704b0ab3a96b93a12b8eef?pvs=21), Cardiomyopathy (https://www.notion.so/Cardiomyopathy-1cab53d364c94cb29bf3f22f97df4eac?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21)",,breed-specific,Moderate,Moderate (45–60 min/day),2,35,22.5,70,45,Low–Moderate,Low,pattern-based (well-established risks),Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.; Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.,Gastrointestinal; Orthopedic; Ophthalmic; Cardiac; Endocrine,7–10,40,25,80,50,Tibet,"AKC, FCI",hips (OFA/FCI); elbows (OFA/FCI); owner education on bloat; consider prophylactic gastropexy where appropriate; hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),gentle;steady;protective,Moderate,breed-specific estimate
Tibetan Spaniel,Medium feathered,"Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Low,High (60–90 min/day),9,15.2,9.2,23,14,Moderate–High,Varies,,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.,Otic; Dermatologic; Orthopedic,11–14,16.5,10.6,25,16,Tibet,"AKC, FCI",hips/elbows (OFA/FCI); ear care plan; skin/coat checks,gentle;obedient;enthusiastic,High,breed-specific estimate
Tibetan Terrier,Wire/broken or smooth,"Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21), Skin issues (https://www.notion.so/Skin-issues-0204ec666dfa43b595daffb229708b0e?pvs=21), Lens luxation (https://www.notion.so/Lens-luxation-44b02200e7a64255a340e67f7a03af57?pvs=21)",,breed-specific,Low,High (60–90 min/day),9,8.2,4.5,11,6,Moderate (hand-stripping for some),Varies,,,,12–15,7.9,4.6,12,7,Tibet,"AKC, FCI",,bold;feisty;energetic,Moderate,breed-specific estimate
Tornjak,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,Moderate,0,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,Bosnia and Herzegovina/Croatia,FCI,,loyal;alert;trainable,Moderate,breed-specific estimate
Tosa Inu,Short/medium double,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Heart issues (https://www.notion.so/Heart-issues-ed76893a1091458b898840deabe0dfdd?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21)",,breed-specific,Moderate,High (60–120 min/day),0,30,18,50,30,Low–Moderate,Moderate,,Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.,Orthopedic; Ophthalmic; Cardiac; Endocrine,9–12,30,17.5,60,35,Japan,FCI,hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),confident;protective;calm,Moderate–High,breed-specific estimate
Toy Fox Terrier,Wire/broken or smooth,"Skin issues (https://www.notion.so/Skin-issues-0204ec666dfa43b595daffb229708b0e?pvs=21), Lens luxation (https://www.notion.so/Lens-luxation-44b02200e7a64255a340e67f7a03af57?pvs=21), Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21)",,breed-specific,High,High (60–90 min/day),3,8.2,4.5,11,6,Moderate (hand-stripping for some),Moderate,,,,12–15,7.9,4.6,12,7,England,FCI,,bold;feisty;energetic,Moderate,breed-specific estimate
Transylvanian Hound,Short or medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,High (60–120 min/day),0,19.2,10.8,32,18,Low to Moderate,Moderate,,,,10–14,21,12,35,20,Hungary,FCI,,independent;gentle;prey-driven,Moderate (scent/sight driven),breed-specific estimate
Treeing Tennessee Brindle,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,Moderate,0,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,United States,FCI,,loyal;alert;trainable,Moderate,breed-specific estimate
Treeing Walker Coonhound,Short or medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,High (60–120 min/day),0,19.2,10.8,32,18,Low to Moderate,Moderate,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,10–14,21,12,35,20,United States,FCI,regular ear checks/cleaning; skin/coat checks,independent;gentle;prey-driven,Moderate (scent/sight driven),breed-specific estimate
Vizsla,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,Moderate,7,13.2,5.9,20,9,Low–Moderate,Low,,,,11–14,14.5,6.6,22,10,Hungary,"AKC, FCI",,loyal;alert;trainable,Moderate,breed-specific estimate
Volpino Italiano,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,Moderate,0,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,Italy,FCI,,loyal;alert;trainable,Moderate,breed-specific estimate
Weimaraner,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21)",,breed-specific,High,Moderate,7,13.2,5.9,20,9,Low–Moderate,Low,pattern-based (well-established risks),Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.; Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.,Gastrointestinal; Orthopedic; Ophthalmic,11–14,14.5,6.6,22,10,Germany,"AKC, FCI",owner education on bloat; consider prophylactic gastropexy where appropriate; hips/elbows (OFA/FCI); eye exam (CAER),loyal;alert;trainable,Moderate,breed-specific estimate
Welsh Springer Spaniel,Medium feathered,"Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,High (60–90 min/day),8,15.2,9.2,23,14,Moderate–High,Moderate,,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.,Otic; Dermatologic; Orthopedic,11–14,16.5,10.6,25,16,Wales,"AKC, FCI",hips/elbows (OFA/FCI); ear care plan; skin/coat checks,gentle;obedient;enthusiastic,High,breed-specific estimate
Welsh Terrier,Wire/broken or smooth,"Skin issues (https://www.notion.so/Skin-issues-0204ec666dfa43b595daffb229708b0e?pvs=21), Lens luxation (https://www.notion.so/Lens-luxation-44b02200e7a64255a340e67f7a03af57?pvs=21), Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21)",,breed-specific,High,High (60–90 min/day),3,8.2,4.5,11,6,Moderate (hand-stripping for some),Moderate,,,,12–15,7.9,4.6,12,7,Wales,"AKC, FCI",,bold;feisty;energetic,Moderate,breed-specific estimate
West Highland White Terrier,Wire/broken or smooth,"Skin issues (https://www.notion.so/Skin-issues-0204ec666dfa43b595daffb229708b0e?pvs=21), Lens luxation (https://www.notion.so/Lens-luxation-44b02200e7a64255a340e67f7a03af57?pvs=21), Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21)",,breed-specific,High,High (60–90 min/day),3,8.2,4.5,11,6,Moderate (hand-stripping for some),Moderate,,,,12–15,7.9,4.6,12,7,Scotland,"AKC, FCI",,bold;feisty;energetic,Moderate,breed-specific estimate
Westphalian Dachsbracke,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,Moderate,0,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,Germany,FCI,,loyal;alert;trainable,Moderate,breed-specific estimate
Whippet,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,Moderate,10,13.2,5.9,20,9,Low–Moderate,Low,,Sighthounds: unique anesthetic/analgesic considerations; thin skin/pressure sores; some have hyperfibrinolysis tendencies; deep‑chested types with bloat risk.,Anesthesia; Hematologic; Dermatologic; Gastrointestinal,11–14,14.5,6.6,22,10,England,"AKC, FCI",anesthesia plan tailored to sighthounds; owner education on bloat for giant/large sighthounds,loyal;alert;trainable,Moderate,breed-specific estimate
Wire Fox Terrier,Wire/broken or smooth,"Skin issues (https://www.notion.so/Skin-issues-0204ec666dfa43b595daffb229708b0e?pvs=21), Lens luxation (https://www.notion.so/Lens-luxation-44b02200e7a64255a340e67f7a03af57?pvs=21), Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21)",,breed-specific,High,High (60–90 min/day),3,8.2,4.5,11,6,Moderate (hand-stripping for some),Moderate,,,,12–15,7.9,4.6,12,7,England,FCI,,bold;feisty;energetic,Moderate,breed-specific estimate
Wirehaired Pointing Griffon,Short or long; varies,"Dental disease (https://www.notion.so/Dental-disease-85eac5bad071433f8fb0d9c655989c09?pvs=21), Tracheal collapse (https://www.notion.so/Tracheal-collapse-28ccf55ca088814d85accf9ca9a0e500?pvs=21), Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21)",,breed-specific,High,Low–Moderate (20–40 min/day),7,4.5,1.5,6,2,Low to High (breed-specific),Low,,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.,Orthopedic; Ophthalmic,12–16,4.5,1.5,6,2,France,"AKC, FCI",hips/elbows (OFA/FCI); eye exam (CAER),affectionate;alert;playful,Moderate–High,breed-specific estimate
Wirehaired Vizsla,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,Moderate,0,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,Hungary,FCI,,loyal;alert;trainable,Moderate,breed-specific estimate
Xoloitzcuintli,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,Moderate,5,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,Mexico,"AKC, FCI",,loyal;alert;trainable,Moderate,breed-specific estimate
Yakutian Laika,Thick double,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Zinc deficiency (https://www.notion.so/Zinc-deficiency-7ba7ebcf17924e74a45ab470d6acf571?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,High (90–120 min/day),5,18,9.6,30,16,Moderate–High (seasonal blowouts),Moderate,,,,11–14,21,12,35,20,Russia (Yakutia),FCI,,alert;independent;friendly,Moderate,breed-specific estimate
Yorkshire Terrier,Wire/broken or smooth,"Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21), Skin issues (https://www.notion.so/Skin-issues-0204ec666dfa43b595daffb229708b0e?pvs=21), Lens luxation (https://www.notion.so/Lens-luxation-44b02200e7a64255a340e67f7a03af57?pvs=21), Dental disease (https://www.notion.so/Dental-disease-85eac5bad071433f8fb0d9c655989c09?pvs=21), Portosystemic shunt (https://www.notion.so/Portosystemic-shunt-28ccf55ca08881809ed4d7cfaa907edb?pvs=21)",,breed-specific,High,High (60–90 min/day),3,8.2,4.5,11,6,Moderate (hand-stripping for some),Moderate,pattern-based (well-established risks),Dental disease and patellar luxation are common in toy breeds.; Companion/toy breeds: dental disease and patellar luxation common; several have hereditary eye risks.,Dental; Orthopedic; Ophthalmic,12–15,7.9,4.6,12,7,England,"AKC, FCI",patellar exam; routine dental care; eye exam (CAER),bold;feisty;energetic,Moderate,breed-specific estimate
Jack Russell Terrier,,,,breed-specific,High,High (60–90 min/day),3,6,4.5,8,6,,Moderate,,Some terriers carry primary lens luxation (PLL); small terriers may have patellar luxation and dental disease.,Ophthalmic; Orthopedic; Dental,12–15,6,4.5,8,6,United Kingdom / Australia (development),"FCI, KC (UK), UKC",PLL DNA test where applicable; patellar exam; dental plan,bold;feisty;energetic,Moderate,breed-specific estimate
American Bully,,,,breed-specific,Moderate,Moderate (45–60 min/day),0,27,13.2,45,22,,Moderate,,,,10–12,32.4,16.2,54,27,United States,"FCI, UKC",,friendly;loyal;trainable,Moderate,breed-specific estimate
Hovawart,,,,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Germany,FCI,,typical for type,Moderate,breed-specific estimate
Smålandsstövare,,,,group-default heuristic,High,,6,0,0,0,0,,Low,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,11–14,0,0,0,0,Sweden,FCI,regular ear checks/cleaning; skin/coat checks,"scent‑driven, friendly",Moderate,breed-specific estimate
Schapendoes,,,,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Netherlands,FCI,,typical for type,Moderate,breed-specific estimate
Polish Hound,,,,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Poland,FCI,,typical for type,Moderate,breed-specific estimate
Mountain Cur,,,,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,United States,"FCI, UKC",,typical for type,Moderate,breed-specific estimate
Black Mouth Cur,,,,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,United States,"FCI, UKC",,typical for type,Moderate,breed-specific estimate
Kai Ken,,,,group-default heuristic,High,,5,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Japan,"FCI, NIPPO",,"independent, alert",Challenging,breed-specific estimate
South Russian Ovcharka,,,South Russian Shepherd Dog,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Ukraine/Russia,FCI,,typical for type,Moderate,breed-specific estimate
Romanian Mioritic Shepherd Dog,,,,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Romania,FCI,,typical for type,Moderate,breed-specific estimate
Carpathian Shepherd Dog,,,Romanian Carpathian Shepherd,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Romania,FCI,,typical for type,Moderate,breed-specific estimate
Romanian Bucovina Shepherd,,,,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Romania,FCI,,typical for type,Moderate,breed-specific estimate
Catalan Sheepdog,,,Gos d’Atura Català,group-default heuristic,High,,1,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Spain (Catalonia),"FCI, KC (UK)",,"biddable, attentive, protective",High,breed-specific estimate
Portuguese Sheepdog,,,Cão da Serra de Aires,group-default heuristic,High,,1,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Portugal,FCI,,"biddable, attentive, protective",High,breed-specific estimate
Castro Laboreiro Dog,,,Cão de Castro Laboreiro,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Portugal,FCI,,typical for type,Moderate,breed-specific estimate
Rafeiro do Alentejo,,,,group-default heuristic,Moderate,,2,0,0,0,0,,Low,,Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.,Orthopedic; Ophthalmic; Cardiac; Endocrine,11–14,0,0,0,0,Portugal,FCI,hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),"calm, protective",Moderate,breed-specific estimate
Ciobanesc Romanesc de Bucovina,,,Romanian Bucovina Shepherd,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Romania,FCI,,typical for type,Moderate,breed-specific estimate
Ciobanesc Romanesc Carpatin,,,Carpathian Shepherd Dog,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Romania,FCI,,typical for type,Moderate,breed-specific estimate
Ciobanesc Romanesc Mioritic,,,Romanian Mioritic Shepherd Dog,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Romania,FCI,,typical for type,Moderate,breed-specific estimate
Bohemian Shepherd,,,Chodský pes,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Czech Republic,FCI,,typical for type,Moderate,breed-specific estimate
Polish Tatra Sheepdog,,,Tatra Shepherd Dog,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Poland,"FCI, KC (UK)",,typical for type,Moderate,breed-specific estimate
Croatian Sheepdog,,,,group-default heuristic,High,,1,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Croatia,FCI,,"biddable, attentive, protective",High,breed-specific estimate
Lapponian Herder,,,,group-default heuristic,High,,5,0,0,0,0,,Moderate,,Nordic herders/spitz: hip dysplasia screening recommended; hereditary eye disease occurs in some lines.,Orthopedic; Ophthalmic,11–14,0,0,0,0,Finland,FCI,hips (OFA/FCI); eye exam (CAER),"independent, alert",Challenging,breed-specific estimate
Karakachan Dog,,,,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Bulgaria,FCI,,typical for type,Moderate,breed-specific estimate
East Siberian Laika,,,,group-default heuristic,High,,5,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Russia (Siberia),FCI,,"independent, alert",Challenging,breed-specific estimate
West Siberian Laika,,,,group-default heuristic,High,,5,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Russia (Siberia),FCI,,"independent, alert",Challenging,breed-specific estimate
Russo-European Laika,,,,group-default heuristic,High,,5,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Russia,FCI,,"independent, alert",Challenging,breed-specific estimate
